goodForGroups,city,state,latitude,longitude,stars,reviewCount,checkins,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
1,Las Vegas,NV,36.1423109,-115.2084303,3.5,257,2065,TRUE,full_bar,average,casual,1,FALSE,TRUE,outdoor,FALSE,TRUE,TRUE
1,Phoenix,AZ,33.58293,-112.1513854,2.5,23,19,TRUE,none,loud,casual,1,FALSE,FALSE,,FALSE,,
1,Montral,QC,45.4824558,-73.6302635,4,15,14,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,,TRUE,TRUE,
1,Edinburgh,EDH,55.9480485,-3.1947532,3.5,35,34,TRUE,full_bar,loud,casual,2,FALSE,TRUE,outdoor,TRUE,TRUE,
1,Montreal,QC,45.5287689,-73.5785268,3.5,8,3,TRUE,none,average,casual,2,TRUE,TRUE,,FALSE,,
0,Mesa,AZ,33.46373873,-111.6833988,3,5,22,TRUE,none,,casual,1,,,,,,
0,North Las Vegas,NV,36.25523557,-115.1539063,4.5,66,517,TRUE,none,,,1,,,,FALSE,,
0,Kitchener,ON,43.4449003,-80.5059112,4,12,25,TRUE,none,,,1,,,,,,
1,Mint Hill,NC,35.172354,-80.661499,3.5,26,26,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,FALSE,
1,Montral,QC,45.51996,-73.5966228,4.5,6,4,TRUE,none,quiet,dressy,2,,FALSE,,FALSE,FALSE,
1,Charlotte,NC,35.185498,-80.880978,4,113,441,FALSE,beer_and_wine,loud,casual,1,FALSE,,,TRUE,TRUE,
1,Carefree,AZ,33.826909,-111.919279,3.5,3,6,FALSE,none,average,casual,2,,FALSE,,TRUE,,
1,Las Vegas,NV,36.0568121,-115.1287195,3.5,107,522,TRUE,beer_and_wine,average,casual,2,TRUE,TRUE,,FALSE,FALSE,
1,Montral,QC,45.5339499,-73.5983069,3.5,10,15,TRUE,full_bar,very_loud,casual,2,FALSE,TRUE,,FALSE,,
1,Las Vegas,NV,36.11129865,-115.1725257,3,560,2226,TRUE,full_bar,average,casual,2,FALSE,,,TRUE,FALSE,
1,Las Vegas,NV,36.1153832,-115.2032516,3.5,92,248,FALSE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,FALSE,
0,Urbana,IL,40.1124494,-88.2084424,4,73,30,TRUE,none,,,2,FALSE,,,,,
1,Fountain Hills,AZ,33.6005624,-111.7163108,3.5,58,201,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
0,Phoenix,AZ,33.553485,-112.110289,3.5,8,54,TRUE,none,quiet,casual,1,FALSE,,,FALSE,FALSE,
0,Pittsburgh,PA,40.4427094,-79.9978377,4,15,39,TRUE,none,,,2,,,,,,
1,Pittsburgh,PA,40.442035,-80.002556,4,124,196,TRUE,full_bar,average,casual,2,FALSE,TRUE,no,FALSE,FALSE,
1,Pittsburgh,PA,40.458576,-79.9435413,3.5,53,49,TRUE,full_bar,average,casual,2,TRUE,FALSE,,TRUE,TRUE,
1,Phoenix,AZ,33.5097861,-111.9965163,3,39,55,FALSE,full_bar,average,casual,2,FALSE,TRUE,no,TRUE,,
1,Montreal,QC,45.507896,-73.5533972,3.5,8,16,TRUE,full_bar,loud,casual,3,,,,TRUE,,
1,Montreal,QC,45.50226779,-73.5620943,4.5,3,25,TRUE,full_bar,loud,,3,,FALSE,no,FALSE,,
1,Pittsburgh,PA,40.4334602,-79.922885,2.5,45,47,TRUE,full_bar,quiet,casual,2,FALSE,FALSE,,FALSE,,
1,Charlotte,NC,35.1998167,-80.8411983,4.5,34,48,TRUE,full_bar,very_loud,casual,2,FALSE,TRUE,outdoor,TRUE,,
1,Las Vegas,NV,36.1429063,-115.1405587,4.5,6,16,TRUE,none,quiet,casual,2,,,,FALSE,,
1,Las Vegas,NV,36.1263784,-115.1969938,2,310,479,TRUE,none,average,casual,2,FALSE,FALSE,,FALSE,FALSE,TRUE
1,Mesa,AZ,33.4520543,-111.6870031,3,10,139,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,FALSE,
0,Phoenix,AZ,33.3042146,-111.9958949,4.5,4,107,TRUE,none,,,2,,,,,,
1,Chandler,AZ,33.3192377,-111.9294836,4,128,287,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,36.0897171,-115.2431228,3.5,53,256,TRUE,none,average,casual,1,TRUE,FALSE,,TRUE,TRUE,
1,Phoenix,AZ,33.4043912,-111.9788107,3,14,108,TRUE,none,average,casual,1,FALSE,FALSE,,TRUE,TRUE,
0,Las Vegas,NV,36.1909406,-115.3072017,3.5,7,19,TRUE,none,,,2,,,,,,
0,Pittsburgh,PA,40.4417404,-79.95708104,3.5,35,35,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,TRUE,
0,Las Vegas,NV,36.1437655,-115.2690556,4.5,9,10,FALSE,none,average,,,,,,FALSE,,
1,North Las Vegas,NV,36.23751354,-115.1594806,4,48,353,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,TRUE,TRUE
0,Las Vegas,NV,36.0457187,-115.3133908,3,7,7,TRUE,none,,,3,,,,,,
0,Tempe,AZ,33.4228487,-111.940543,4.5,31,163,TRUE,none,,,1,,TRUE,,,,
1,Las Vegas,NV,35.99878572,-115.2074922,2.5,12,6,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,,
1,Las Vegas,NV,36.239064,-115.206628,3.5,30,66,TRUE,none,average,casual,2,FALSE,FALSE,,FALSE,FALSE,
0,Mesa,AZ,33.3835535,-111.8744223,4,16,175,TRUE,none,,,1,,TRUE,,,,
1,Montral,QC,45.4929946,-73.5802059,3.5,8,6,FALSE,none,average,casual,2,,,,FALSE,,
0,Charlotte,NC,35.3400209,-80.7654858,4,4,34,FALSE,none,,,2,,,,TRUE,,
0,Phoenix,AZ,33.519577,-112.065351,4,117,264,TRUE,full_bar,average,casual,3,FALSE,TRUE,,TRUE,FALSE,
1,Scottsdale,AZ,33.493057,-111.926397,3,94,322,TRUE,full_bar,average,casual,2,TRUE,TRUE,no,TRUE,TRUE,TRUE
0,Concord,NC,35.366532,-80.709297,3,5,132,TRUE,none,,,1,,,,TRUE,,
0,Las Vegas,NV,36.14201,-115.22474,4.5,3,14,TRUE,none,,,1,,,,,,
1,Phoenix,AZ,33.6878601,-112.0908585,3,61,171,TRUE,none,average,casual,2,FALSE,FALSE,,TRUE,FALSE,TRUE
0,Cave Creek,AZ,33.754077,-111.990759,3.5,3,7,TRUE,none,,,1,,,,,,
1,Pittsburgh,PA,40.422592,-79.928538,3,33,8,TRUE,none,quiet,casual,2,TRUE,TRUE,,FALSE,FALSE,
1,Charlotte,NC,35.22793363,-80.84186889,3,33,188,TRUE,full_bar,very_loud,,2,,,outdoor,TRUE,,
0,Las Vegas,NV,36.125528,-115.279608,3.5,3,106,TRUE,none,,,3,,,,,,
0,Gilbert,AZ,33.376244,-111.840765,4,38,798,TRUE,none,,,2,,TRUE,,,,
0,Montral,QC,45.5187125,-73.5778703,4,58,24,TRUE,none,quiet,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Cave Creek,AZ,33.8204,-111.9521,4,20,12,TRUE,none,very_loud,casual,1,TRUE,TRUE,,FALSE,FALSE,
1,Scottsdale,AZ,33.69760513,-111.9158478,3.5,106,276,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
0,Charlotte,NC,35.2128364,-80.8358184,3.5,48,339,TRUE,none,,,2,,TRUE,,,,
1,Edinburgh,EDH,55.949384,-3.1939914,4,33,41,TRUE,full_bar,average,casual,2,,,outdoor,TRUE,,
1,Matthews,NC,35.085443,-80.696968,1.5,5,14,TRUE,none,,casual,1,FALSE,,,TRUE,,
1,Pittsburgh,PA,40.48676439,-79.92683998,4.5,24,8,TRUE,full_bar,average,,2,,,no,TRUE,,
0,Madison,WI,43.0748335,-89.3922743,3.5,52,375,TRUE,none,,,1,,TRUE,,FALSE,,
1,Montreal,QC,45.5152182,-73.5590076,3,11,15,TRUE,beer_and_wine,average,casual,2,,TRUE,,FALSE,FALSE,
1,Charlotte,NC,35.147139,-80.828793,3.5,163,322,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,FALSE,
1,Pittsburgh,PA,40.4649115,-79.9657542,4,14,15,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,36.147909,-115.153972,3.5,8,52,TRUE,none,average,casual,2,FALSE,,,,,
1,Las Vegas,NV,36.123589,-115.207512,3.5,9,18,FALSE,none,average,casual,1,FALSE,FALSE,,FALSE,TRUE,
0,Madison,WI,43.025686,-89.41496,4,22,14,TRUE,none,,casual,1,,,,,,
1,Huntersville,NC,35.38468329,-80.78597972,3,10,14,TRUE,none,quiet,casual,1,TRUE,TRUE,,TRUE,TRUE,
1,Phoenix,AZ,33.4473356,-112.0734239,3,170,1212,TRUE,full_bar,loud,casual,2,FALSE,TRUE,no,TRUE,TRUE,
0,Las Vegas,NV,36.2384588,-115.2246267,3,23,138,TRUE,none,,,1,,,,FALSE,,
1,Phoenix,AZ,33.5754756,-112.0651766,4.5,37,193,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,outdoor,FALSE,FALSE,
1,North Las Vegas,NV,36.24039163,-115.1116019,3,51,152,TRUE,full_bar,average,,2,,,yes,FALSE,,
1,Scottsdale,AZ,33.6222342,-111.9217196,4,56,342,FALSE,full_bar,very_loud,casual,2,FALSE,,,TRUE,FALSE,
1,Las Vegas,NV,36.1180335,-115.1631545,3.5,4,11,TRUE,full_bar,,casual,2,TRUE,,,TRUE,,
0,Charlotte,NC,35.152698,-80.825796,4,38,697,TRUE,none,,,2,,,,,,
1,Scottsdale,AZ,33.6213622,-111.9161075,4,63,102,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,,TRUE,TRUE,
0,Charlotte,NC,35.0878284,-80.8454085,3,18,59,FALSE,full_bar,average,casual,2,TRUE,FALSE,,TRUE,TRUE,
1,Madison,WI,43.0615846,-89.4004924,3,60,77,TRUE,full_bar,average,casual,1,FALSE,TRUE,,FALSE,TRUE,TRUE
0,Pittsburgh,PA,40.4309995,-80.0016201,4,6,24,TRUE,none,,,2,,,,TRUE,,
0,Phoenix,AZ,33.6543385,-112.0667308,2.5,8,7,TRUE,none,,casual,2,TRUE,,,,FALSE,
0,Las Vegas,NV,36.0849963,-115.1511364,1.5,31,82,TRUE,beer_and_wine,,casual,2,FALSE,,,FALSE,,
1,Tempe,AZ,33.4217708,-111.9250202,3.5,53,91,TRUE,none,quiet,casual,1,TRUE,FALSE,,TRUE,TRUE,
1,Henderson,NV,36.0547038,-115.0169916,4.5,16,143,TRUE,beer_and_wine,average,,1,,,,FALSE,,
0,Tempe,AZ,33.3363836,-111.9343636,5,4,5,TRUE,none,,,,,,,,,
0,Tempe,AZ,33.42183,-111.960264,3,25,221,TRUE,none,,,1,,,,TRUE,,
1,Chandler,AZ,33.305579,-111.862189,3.5,10,84,TRUE,none,quiet,casual,1,FALSE,FALSE,,FALSE,FALSE,
0,Henderson,NV,36.00071215,-115.1092616,4.5,112,1934,TRUE,none,,,2,,FALSE,,,,
1,Chandler,AZ,33.2350265,-111.8569646,3.5,51,193,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
0,Madison,WI,43.08060017,-89.3760845,4,27,189,TRUE,none,,,1,,TRUE,,TRUE,,
1,Scottsdale,AZ,33.534075,-111.964616,4.5,43,142,TRUE,full_bar,quiet,casual,2,FALSE,FALSE,no,TRUE,,
0,Edinburgh,EDH,55.941005,-3.203201,4,17,22,TRUE,none,,casual,1,,,,FALSE,,
1,Las Vegas,NV,36.0123098,-115.1189623,3.5,21,58,FALSE,none,quiet,casual,1,TRUE,FALSE,,TRUE,TRUE,
1,Las Vegas,NV,36.10675956,-115.1776744,3,18,25,FALSE,full_bar,average,casual,2,FALSE,,,TRUE,,
1,Mesa,AZ,33.4143789,-111.873954,3.5,3,11,TRUE,none,,casual,1,FALSE,,,,,
1,Lake Wylie,SC,35.10997573,-81.04424332,4.5,15,54,TRUE,none,quiet,casual,1,FALSE,TRUE,,TRUE,TRUE,
1,Phoenix,AZ,33.5107032,-111.9862455,3.5,15,35,TRUE,beer_and_wine,average,casual,2,TRUE,FALSE,,TRUE,TRUE,
1,Montral,QC,45.4919847,-73.5655805,5,14,6,TRUE,full_bar,quiet,dressy,3,FALSE,,,FALSE,,
1,Las Vegas,NV,36.1587612,-115.2096005,3.5,15,15,FALSE,none,quiet,casual,1,FALSE,TRUE,,TRUE,TRUE,
1,Karlsruhe,BW,49.0087155,8.3955183,3,57,8,TRUE,full_bar,very_loud,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,TRUE
0,Pittsburgh,PA,40.4400776,-79.9562349,3.5,11,7,TRUE,none,loud,casual,1,FALSE,FALSE,,FALSE,FALSE,
